InvoiceId,InvoiceDate,CustomerId,AddressId,TaxBase,TotalVat,Total
1,2021-08-31,1,2,1000,210,1210
2,2021-11-13,1,1,2000,420,2420
3,2023-01-23,1,1,3000,630,3630
4,2023-04-12,1,3,4000,840,4840
5,2020-11-03,2,2,5000,1050,6050
6,2024-10-25,1,2,6000,1260,7260
7,2020-03-23,2,1,7000,1470,8470
8,2020-09-23,1,1,8000,1680,9680
9,2020-09-18,1,1,9000,1890,10890
10,2022-12-02,3,1,10000,2100,12100
11,2022-07-14,2,1,11000,2310,13310
12,2021-12-02,3,2,12000,2520,14520
13,2022-11-26,2,2,13000,2730,15730
14,2023-02-18,1,3,14000,2940,16940
15,2020-04-30,3,1,15000,3150,18150
16,2024-09-04,3,1,16000,3360,19360
17,2023-05-18,3,2,17000,3570,20570
18,2024-06-13,2,3,18000,3780,21780
19,2024-06-05,3,2,19000,3990,22990
20,2020-07-15,1,1,20000,4200,24200
21,2020-09-17,1,3,21000,4410,25410
22,2020-05-11,2,3,22000,4620,26620
23,2022-06-14,1,1,23000,4830,27830
24,2023-06-18,2,3,24000,5040,29040
25,2021-10-19,2,2,25000,5250,30250
26,2020-01-23,2,2,26000,5460,31460
27,2024-03-07,3,3,27000,5670,32670
28,2021-04-27,3,1,28000,5880,33880
29,2022-03-23,3,2,29000,6090,35090
30,2020-06-03,1,3,30000,6300,36300
31,2020-02-03,3,1,31000,6510,37510
32,2022-09-18,2,3,32000,6720,38720
33,2022-12-25,3,1,33000,6930,39930
34,2023-11-11,3,2,34000,7140,41140
35,2024-09-21,1,3,35000,7350,42350
36,2021-08-04,1,3,36000,7560,43560
37,2020-07-07,3,2,37000,7770,44770
38,2024-08-12,2,1,38000,7980,45980
39,2022-11-14,1,1,39000,8190,47190
40,2023-08-17,2,1,40000,8400,48400
41,2022-04-30,3,3,41000,8610,49610
42,2021-07-06,1,2,42000,8820,50820
43,2020-09-25,1,1,43000,9030,52030
44,2024-06-20,3,3,44000,9240,53240
45,2022-06-03,3,2,45000,9450,54450
46,2024-11-29,2,3,46000,9660,55660
47,2023-05-16,1,1,47000,9870,56870
48,2022-12-24,2,3,48000,10080,58080
49,2022-11-30,1,1,49000,10290,59290
50,2022-10-08,2,2,50000,10500,60500
51,2023-08-03,3,1,51000,10710,61710
52,2022-02-03,1,1,52000,10920,62920
53,2024-11-05,1,3,53000,11130,64130
54,2024-03-06,3,3,54000,11340,65340
55,2024-10-16,1,2,55000,11550,66550
56,2022-05-25,1,1,56000,11760,67760
57,2022-07-28,1,1,57000,11970,68970
58,2021-05-24,1,1,58000,12180,70180
59,2022-06-03,2,2,59000,12390,71390
60,2022-07-15,3,3,60000,12600,72600
61,2023-07-28,2,3,61000,12810,73810
62,2021-09-02,3,2,62000,13020,75020
